cd_clean,support_pct,n_cells,question,label,topic,margin_of_error
KS-01,50,52,abortion_always,Abortion should always be legal,Abortion,7
KS-02,56.5,52,abortion_always,Abortion should always be legal,Abortion,7
KS-03,56.9,58,abortion_always,Abortion should always be legal,Abortion,7
KS-04,52,61,abortion_always,Abortion should always be legal,Abortion,7
KY-01,42.9,52,abortion_always,Abortion should always be legal,Abortion,7
KY-02,43.2,43,abortion_always,Abortion should always be legal,Abortion,7
KY-03,60.7,58,abortion_always,Abortion should always be legal,Abortion,7
KY-04,45,48,abortion_always,Abortion should always be legal,Abortion,7
KY-05,34.5,42,abortion_always,Abortion should always be legal,Abortion,7
KY-06,49.3,53,abortion_always,Abortion should always be legal,Abortion,7
LA-01,46.3,53,abortion_always,Abortion should always be legal,Abortion,7
LA-02,70.6,67,abortion_always,Abortion should always be legal,Abortion,7
LA-03,46.5,58,abortion_always,Abortion should always be legal,Abortion,7
LA-04,41.9,60,abortion_always,Abortion should always be legal,Abortion,7
LA-05,44.4,48,abortion_always,Abortion should always be legal,Abortion,7
LA-06,52.7,58,abortion_always,Abortion should always be legal,Abortion,7
MA-01,69,62,abortion_always,Abortion should always be legal,Abortion,7
MA-02,72.7,58,abortion_always,Abortion should always be legal,Abortion,7
MA-03,69.2,51,abortion_always,Abortion should always be legal,Abortion,7
MA-04,70.9,47,abortion_always,Abortion should always be legal,Abortion,7
MA-05,73.3,55,abortion_always,Abortion should always be legal,Abortion,7
MA-06,75,39,abortion_always,Abortion should always be legal,Abortion,7
MA-07,77.8,67,abortion_always,Abortion should always be legal,Abortion,7
MA-08,76.4,58,abortion_always,Abortion should always be legal,Abortion,7
MA-09,72.3,45,abortion_always,Abortion should always be legal,Abortion,7
MD-01,57.8,61,abortion_always,Abortion should always be legal,Abortion,7
MD-02,65.9,72,abortion_always,Abortion should always be legal,Abortion,7
MD-03,72,72,abortion_always,Abortion should always be legal,Abortion,7
MD-04,71.7,65,abortion_always,Abortion should always be legal,Abortion,7
MD-05,70.6,66,abortion_always,Abortion should always be legal,Abortion,7
MD-06,57,61,abortion_always,Abortion should always be legal,Abortion,7
MD-07,75,68,abortion_always,Abortion should always be legal,Abortion,7
MD-08,68,59,abortion_always,Abortion should always be legal,Abortion,7
ME-01,67.5,43,abortion_always,Abortion should always be legal,Abortion,7
ME-02,58.3,49,abortion_always,Abortion should always be legal,Abortion,7
MI-01,57.1,43,abortion_always,Abortion should always be legal,Abortion,7
MI-02,55.9,57,abortion_always,Abortion should always be legal,Abortion,7
MI-03,58.1,61,abortion_always,Abortion should always be legal,Abortion,7
MI-04,50.7,45,abortion_always,Abortion should always be legal,Abortion,7
MI-05,60.9,54,abortion_always,Abortion should always be legal,Abortion,7
MI-06,61.3,46,abortion_always,Abortion should always be legal,Abortion,7
MI-07,52,44,abortion_always,Abortion should always be legal,Abortion,7
MI-08,58.3,59,abortion_always,Abortion should always be legal,Abortion,7
MI-09,67.1,57,abortion_always,Abortion should always be legal,Abortion,7
MI-10,57.2,43,abortion_always,Abortion should always be legal,Abortion,7
MI-11,63.2,50,abortion_always,Abortion should always be legal,Abortion,7
MI-12,69,60,abortion_always,Abortion should always be legal,Abortion,7
MI-13,66.7,68,abortion_always,Abortion should always be legal,Abortion,7
MI-14,69.8,66,abortion_always,Abortion should always be legal,Abortion,7
MN-01,57.4,47,abortion_always,Abortion should always be legal,Abortion,7
MN-02,55,47,abortion_always,Abortion should always be legal,Abortion,7
MN-03,65.6,45,abortion_always,Abortion should always be legal,Abortion,7
MN-04,71.9,58,abortion_always,Abortion should always be legal,Abortion,7
MN-05,78.8,73,abortion_always,Abortion should always be legal,Abortion,7
MN-06,51.4,40,abortion_always,Abortion should always be legal,Abortion,7
MN-07,47.7,40,abortion_always,Abortion should always be legal,Abortion,7
MN-08,50.1,40,abortion_always,Abortion should always be legal,Abortion,7
MO-01,67.1,65,abortion_always,Abortion should always be legal,Abortion,7
MO-02,59.9,54,abortion_always,Abortion should always be legal,Abortion,7
MO-03,45.2,49,abortion_always,Abortion should always be legal,Abortion,7
MO-04,48.9,53,abortion_always,Abortion should always be legal,Abortion,7
MO-05,62.3,66,abortion_always,Abortion should always be legal,Abortion,7
MO-06,47.8,47,abortion_always,Abortion should always be legal,Abortion,7
MO-07,45,53,abortion_always,Abortion should always be legal,Abortion,7
MO-08,40.3,50,abortion_always,Abortion should always be legal,Abortion,7
MS-01,40.1,48,abortion_always,Abortion should always be legal,Abortion,7
MS-02,55.9,47,abortion_always,Abortion should always be legal,Abortion,7
MS-03,42,51,abortion_always,Abortion should always be legal,Abortion,7
MS-04,42.6,57,abortion_always,Abortion should always be legal,Abortion,7
MT-01,59.7,57,abortion_always,Abortion should always be legal,Abortion,7
NC-01,61,63,abortion_always,Abortion should always be legal,Abortion,7
NC-02,56.2,67,abortion_always,Abortion should always be legal,Abortion,7
NC-03,55.5,64,abortion_always,Abortion should always be legal,Abortion,7
NC-04,69.1,69,abortion_always,Abortion should always be legal,Abortion,7
NC-05,51.4,67,abortion_always,Abortion should always be legal,Abortion,7
NC-06,53.6,61,abortion_always,Abortion should always be legal,Abortion,7
NC-07,56.7,62,abortion_always,Abortion should always be legal,Abortion,7
NC-08,49.8,69,abortion_always,Abortion should always be legal,Abortion,7
NC-09,53.3,64,abortion_always,Abortion should always be legal,Abortion,7
NC-10,44.5,55,abortion_always,Abortion should always be legal,Abortion,7
NC-11,53.9,46,abortion_always,Abortion should always be legal,Abortion,7
NC-12,68,77,abortion_always,Abortion should always be legal,Abortion,7
NC-13,54.8,63,abortion_always,Abortion should always be legal,Abortion,7
ND-01,56.5,45,abortion_always,Abortion should always be legal,Abortion,7
NE-01,55.2,47,abortion_always,Abortion should always be legal,Abortion,7
NE-02,64.9,57,abortion_always,Abortion should always be legal,Abortion,7
NE-03,44.2,39,abortion_always,Abortion should always be legal,Abortion,7
NH-01,63.8,55,abortion_always,Abortion should always be legal,Abortion,7
NH-02,65.2,54,abortion_always,Abortion should always be legal,Abortion,7
NJ-01,65.5,69,abortion_always,Abortion should always be legal,Abortion,7
NJ-02,60.1,64,abortion_always,Abortion should always be legal,Abortion,7
NJ-03,68.9,58,abortion_always,Abortion should always be legal,Abortion,7
NJ-04,66.7,67,abortion_always,Abortion should always be legal,Abortion,7
NJ-05,68.1,66,abortion_always,Abortion should always be legal,Abortion,7
NJ-06,68.9,65,abortion_always,Abortion should always be legal,Abortion,7
NJ-07,61.8,58,abortion_always,Abortion should always be legal,Abortion,7
NJ-08,70.9,65,abortion_always,Abortion should always be legal,Abortion,7
NJ-09,68.5,72,abortion_always,Abortion should always be legal,Abortion,7
NJ-10,77.7,73,abortion_always,Abortion should always be legal,Abortion,7
NJ-11,69.1,51,abortion_always,Abortion should always be legal,Abortion,7
NJ-12,71.7,65,abortion_always,Abortion should always be legal,Abortion,7
NM-01,63.2,69,abortion_always,Abortion should always be legal,Abortion,7
NM-02,59.7,63,abortion_always,Abortion should always be legal,Abortion,7
NM-03,66.5,55,abortion_always,Abortion should always be legal,Abortion,7
NV-01,70.7,78,abortion_always,Abortion should always be legal,Abortion,7
NV-02,58.2,58,abortion_always,Abortion should always be legal,Abortion,7
NV-03,69.9,72,abortion_always,Abortion should always be legal,Abortion,7
NV-04,61,77,abortion_always,Abortion should always be legal,Abortion,7
NY-01,66.4,60,abortion_always,Abortion should always be legal,Abortion,7
NY-02,70.3,62,abortion_always,Abortion should always be legal,Abortion,7
NY-03,77.1,54,abortion_always,Abortion should always be legal,Abortion,7
NY-04,71.5,63,abortion_always,Abortion should always be legal,Abortion,7
NY-05,74.3,73,abortion_always,Abortion should always be legal,Abortion,7
NY-06,73.7,68,abortion_always,Abortion should always be legal,Abortion,7
NY-07,80.4,70,abortion_always,Abortion should always be legal,Abortion,7
NY-08,77.7,71,abortion_always,Abortion should always be legal,Abortion,7
NY-09,78,72,abortion_always,Abortion should always be legal,Abortion,7
NY-10,75.8,76,abortion_always,Abortion should always be legal,Abortion,7
NY-11,68.9,70,abortion_always,Abortion should always be legal,Abortion,7
NY-12,80.4,67,abortion_always,Abortion should always be legal,Abortion,7
NY-13,80.3,71,abortion_always,Abortion should always be legal,Abortion,7
NY-14,76.1,69,abortion_always,Abortion should always be legal,Abortion,7
NY-15,77.3,63,abortion_always,Abortion should always be legal,Abortion,7
NY-16,76.5,68,abortion_always,Abortion should always be legal,Abortion,7
NY-17,75,62,abortion_always,Abortion should always be legal,Abortion,7
NY-18,65.5,60,abortion_always,Abortion should always be legal,Abortion,7
NY-19,68.9,59,abortion_always,Abortion should always be legal,Abortion,7
NY-20,73,62,abortion_always,Abortion should always be legal,Abortion,7
NY-21,63.7,47,abortion_always,Abortion should always be legal,Abortion,7
NY-22,63.1,50,abortion_always,Abortion should always be legal,Abortion,7
NY-23,58,43,abortion_always,Abortion should always be legal,Abortion,7
NY-24,63.6,51,abortion_always,Abortion should always be legal,Abortion,7
NY-25,69.7,69,abortion_always,Abortion should always be legal,Abortion,7
NY-26,65.7,69,abortion_always,Abortion should always be legal,Abortion,7
NY-27,61.8,42,abortion_always,Abortion should always be legal,Abortion,7
OH-01,61.6,61,abortion_always,Abortion should always be legal,Abortion,7
OH-02,55.2,51,abortion_always,Abortion should always be legal,Abortion,7
OH-03,66.2,75,abortion_always,Abortion should always be legal,Abortion,7
OH-04,48.7,54,abortion_always,Abortion should always be legal,Abortion,7
OH-05,53,44,abortion_always,Abortion should always be legal,Abortion,7
OH-06,47.3,45,abortion_always,Abortion should always be legal,Abortion,7
OH-07,50.9,39,abortion_always,Abortion should always be legal,Abortion,7
OH-08,54.3,52,abortion_always,Abortion should always be legal,Abortion,7
OH-09,62.2,69,abortion_always,Abortion should always be legal,Abortion,7
OH-10,60.4,54,abortion_always,Abortion should always be legal,Abortion,7
OH-11,71.9,66,abortion_always,Abortion should always be legal,Abortion,7
OH-12,59.7,52,abortion_always,Abortion should always be legal,Abortion,7
OH-13,62,67,abortion_always,Abortion should always be legal,Abortion,7
OH-14,58.7,54,abortion_always,Abortion should always be legal,Abortion,7
OH-15,55.3,48,abortion_always,Abortion should always be legal,Abortion,7
OH-16,58,48,abortion_always,Abortion should always be legal,Abortion,7
OK-01,55.3,61,abortion_always,Abortion should always be legal,Abortion,7
OK-02,37.9,58,abortion_always,Abortion should always be legal,Abortion,7
OK-03,52.4,50,abortion_always,Abortion should always be legal,Abortion,7
OK-04,54.4,61,abortion_always,Abortion should always be legal,Abortion,7
OK-05,57.6,69,abortion_always,Abortion should always be legal,Abortion,7
OR-01,68.2,67,abortion_always,Abortion should always be legal,Abortion,7
OR-02,59.3,49,abortion_always,Abortion should always be legal,Abortion,7
OR-03,76.2,70,abortion_always,Abortion should always be legal,Abortion,7
OR-04,65.8,56,abortion_always,Abortion should always be legal,Abortion,7
OR-05,65.2,55,abortion_always,Abortion should always be legal,Abortion,7
PA-01,65.6,68,abortion_always,Abortion should always be legal,Abortion,7
PA-02,69.5,70,abortion_always,Abortion should always be legal,Abortion,7
PA-03,69.1,66,abortion_always,Abortion should always be legal,Abortion,7
PA-04,63.7,67,abortion_always,Abortion should always be legal,Abortion,7
PA-05,57.1,56,abortion_always,Abortion should always be legal,Abortion,7
PA-06,59,55,abortion_always,Abortion should always be legal,Abortion,7
PA-07,59.8,60,abortion_always,Abortion should always be legal,Abortion,7
PA-08,56.4,64,abortion_always,Abortion should always be legal,Abortion,7
PA-09,52.5,50,abortion_always,Abortion should always be legal,Abortion,7
PA-10,55.6,64,abortion_always,Abortion should always be legal,Abortion,7
PA-11,52,57,abortion_always,Abortion should always be legal,Abortion,7
PA-12,45.4,49,abortion_always,Abortion should always be legal,Abortion,7
PA-13,54,59,abortion_always,Abortion should always be legal,Abortion,7
PA-14,58,56,abortion_always,Abortion should always be legal,Abortion,7
PA-15,47.7,53,abortion_always,Abortion should always be legal,Abortion,7
PA-16,54.4,49,abortion_always,Abortion should always be legal,Abortion,7
PA-17,56.3,62,abortion_always,Abortion should always be legal,Abortion,7
PA-18,62.7,58,abortion_always,Abortion should always be legal,Abortion,7
RI-01,71.4,51,abortion_always,Abortion should always be legal,Abortion,7
RI-02,72.3,48,abortion_always,Abortion should always be legal,Abortion,7
SC-01,58.1,62,abortion_always,Abortion should always be legal,Abortion,7
SC-02,55.5,67,abortion_always,Abortion should always be legal,Abortion,7
SC-03,39.2,46,abortion_always,Abortion should always be legal,Abortion,7
SC-04,46,68,abortion_always,Abortion should always be legal,Abortion,7
SC-05,54.8,58,abortion_always,Abortion should always be legal,Abortion,7
SC-06,57.4,63,abortion_always,Abortion should always be legal,Abortion,7
SC-07,51.2,59,abortion_always,Abortion should always be legal,Abortion,7
SD-01,41.7,45,abortion_always,Abortion should always be legal,Abortion,7
TN-01,46.3,47,abortion_always,Abortion should always be legal,Abortion,7
TN-02,50.2,50,abortion_always,Abortion should always be legal,Abortion,7
TN-03,46.1,52,abortion_always,Abortion should always be legal,Abortion,7
TN-04,46.7,57,abortion_always,Abortion should always be legal,Abortion,7
TN-05,62.1,63,abortion_always,Abortion should always be legal,Abortion,7
TN-06,45.7,43,abortion_always,Abortion should always be legal,Abortion,7
TN-07,41.7,50,abortion_always,Abortion should always be legal,Abortion,7
TN-08,50,56,abortion_always,Abortion should always be legal,Abortion,7
TN-09,61.3,55,abortion_always,Abortion should always be legal,Abortion,7
TX-01,42.9,56,abortion_always,Abortion should always be legal,Abortion,7
TX-02,58.9,68,abortion_always,Abortion should always be legal,Abortion,7
TX-03,60.8,70,abortion_always,Abortion should always be legal,Abortion,7
TX-04,42.8,54,abortion_always,Abortion should always be legal,Abortion,7
TX-05,52.1,62,abortion_always,Abortion should always be legal,Abortion,7
TX-06,49.5,72,abortion_always,Abortion should always be legal,Abortion,7
TX-07,58.1,77,abortion_always,Abortion should always be legal,Abortion,7
TX-08,51.6,61,abortion_always,Abortion should always be legal,Abortion,7
TX-09,67.4,77,abortion_always,Abortion should always be legal,Abortion,7
TX-10,62.7,71,abortion_always,Abortion should always be legal,Abortion,7
TX-11,47.7,55,abortion_always,Abortion should always be legal,Abortion,7
TX-12,55.1,67,abortion_always,Abortion should always be legal,Abortion,7
TX-13,49.6,57,abortion_always,Abortion should always be legal,Abortion,7
TX-14,57.7,67,abortion_always,Abortion should always be legal,Abortion,7
TX-15,51.8,53,abortion_always,Abortion should always be legal,Abortion,7
TX-16,56.8,66,abortion_always,Abortion should always be legal,Abortion,7
TX-17,53,59,abortion_always,Abortion should always be legal,Abortion,7
TX-18,64.8,71,abortion_always,Abortion should always be legal,Abortion,7
TX-19,45.9,58,abortion_always,Abortion should always be legal,Abortion,7
TX-20,65,71,abortion_always,Abortion should always be legal,Abortion,7
TX-21,59.9,72,abortion_always,Abortion should always be legal,Abortion,7
TX-22,55.5,80,abortion_always,Abortion should always be legal,Abortion,7
TX-23,57.4,64,abortion_always,Abortion should always be legal,Abortion,7
TX-24,62.9,69,abortion_always,Abortion should always be legal,Abortion,7
TX-25,52.2,66,abortion_always,Abortion should always be legal,Abortion,7
TX-26,53.9,68,abortion_always,Abortion should always be legal,Abortion,7
TX-27,44.1,60,abortion_always,Abortion should always be legal,Abortion,7
TX-28,54.4,66,abortion_always,Abortion should always be legal,Abortion,7
TX-29,62.7,62,abortion_always,Abortion should always be legal,Abortion,7
TX-30,69.1,70,abortion_always,Abortion should always be legal,Abortion,7
TX-31,57,78,abortion_always,Abortion should always be legal,Abortion,7
TX-32,63.9,71,abortion_always,Abortion should always be legal,Abortion,7
TX-33,62.1,70,abortion_always,Abortion should always be legal,Abortion,7
TX-34,53,62,abortion_always,Abortion should always be legal,Abortion,7
TX-35,63.5,71,abortion_always,Abortion should always be legal,Abortion,7
TX-36,49.3,57,abortion_always,Abortion should always be legal,Abortion,7
UT-01,51.6,51,abortion_always,Abortion should always be legal,Abortion,7
UT-02,52.4,55,abortion_always,Abortion should always be legal,Abortion,7
UT-03,40.2,45,abortion_always,Abortion should always be legal,Abortion,7
UT-04,54.2,54,abortion_always,Abortion should always be legal,Abortion,7
VA-01,53.5,65,abortion_always,Abortion should always be legal,Abortion,7
VA-02,60.4,66,abortion_always,Abortion should always be legal,Abortion,7
VA-03,64.6,74,abortion_always,Abortion should always be legal,Abortion,7
VA-04,66.3,71,abortion_always,Abortion should always be legal,Abortion,7
VA-05,54.5,59,abortion_always,Abortion should always be legal,Abortion,7
VA-06,50.6,64,abortion_always,Abortion should always be legal,Abortion,7
VA-07,60,62,abortion_always,Abortion should always be legal,Abortion,7
VA-08,71.7,67,abortion_always,Abortion should always be legal,Abortion,7
VA-09,42.8,50,abortion_always,Abortion should always be legal,Abortion,7
VA-10,60.5,61,abortion_always,Abortion should always be legal,Abortion,7
VA-11,68.2,65,abortion_always,Abortion should always be legal,Abortion,7
VT-01,71,46,abortion_always,Abortion should always be legal,Abortion,7
WA-01,65.3,53,abortion_always,Abortion should always be legal,Abortion,7
WA-02,74.6,56,abortion_always,Abortion should always be legal,Abortion,7
WA-03,60.6,59,abortion_always,Abortion should always be legal,Abortion,7
WA-04,55.8,51,abortion_always,Abortion should always be legal,Abortion,7
WA-05,63.8,59,abortion_always,Abortion should always be legal,Abortion,7
WA-06,65.7,67,abortion_always,Abortion should always be legal,Abortion,7
WA-07,80.5,65,abortion_always,Abortion should always be legal,Abortion,7
WA-08,69.1,56,abortion_always,Abortion should always be legal,Abortion,7
WA-09,77.8,72,abortion_always,Abortion should always be legal,Abortion,7
WA-10,68.7,66,abortion_always,Abortion should always be legal,Abortion,7
WI-01,59.3,58,abortion_always,Abortion should always be legal,Abortion,7
WI-02,71.1,58,abortion_always,Abortion should always be legal,Abortion,7
WI-03,59.6,44,abortion_always,Abortion should always be legal,Abortion,7
WI-04,69.3,66,abortion_always,Abortion should always be legal,Abortion,7
WI-05,54.9,60,abortion_always,Abortion should always be legal,Abortion,7
WI-06,53.4,38,abortion_always,Abortion should always be legal,Abortion,7
WI-07,45.2,42,abortion_always,Abortion should always be legal,Abortion,7
WI-08,57,50,abortion_always,Abortion should always be legal,Abortion,7
WV-01,46.9,41,abortion_always,Abortion should always be legal,Abortion,7
WV-02,47.8,46,abortion_always,Abortion should always be legal,Abortion,7
WV-03,40.3,45,abortion_always,Abortion should always be legal,Abortion,7
WY-01,47.6,46,abortion_always,Abortion should always be legal,Abortion,7
AK-01,16.7,61,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
AL-01,17.2,57,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
AL-02,20.9,66,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
AL-03,20.6,55,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
AL-04,23.8,45,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
AL-05,16.6,60,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
AL-06,17.7,58,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
AL-07,18.4,57,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
AR-01,25.2,52,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
AR-02,21.6,56,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
AR-03,21.8,61,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
AR-04,21,59,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
AZ-01,15.6,61,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
AZ-02,12.6,73,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
AZ-03,17.9,70,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
AZ-04,15.4,56,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
AZ-05,12.7,60,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
AZ-06,12.9,67,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
AZ-07,14.3,71,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
AZ-08,16.1,73,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
AZ-09,12.5,70,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
CA-01,15.4,48,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
CA-02,10.9,52,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
CA-03,14.6,67,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
CA-04,12.6,55,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
CA-05,11.2,64,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
CA-06,13.2,79,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
CA-07,14.9,68,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
CA-08,15.1,71,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
CA-09,17.1,78,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
CA-10,18.5,61,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
CA-11,12.4,59,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
CA-12,11.4,59,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
CA-13,10.8,73,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
CA-14,10.4,61,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
CA-15,12.7,65,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
CA-16,18.1,72,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
CA-17,12.5,62,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
CA-18,9.6,55,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
CA-19,14.4,63,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
CA-20,17.5,54,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
CA-21,15.3,52,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
CA-22,15.7,64,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
CA-23,17.4,75,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
CA-24,13.4,56,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
CA-25,18.8,65,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
CA-26,14.1,51,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
CA-27,15.6,70,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
CA-28,12,62,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
CA-29,12.7,62,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
CA-30,10.7,65,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
CA-31,16.2,74,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
CA-32,17.4,61,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
CA-33,11.4,61,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
CA-34,16.9,65,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
CA-35,20.5,64,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
CA-36,14.1,63,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
CA-37,14.8,69,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
CA-38,17.5,63,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
CA-39,14.2,58,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
CA-40,19.4,51,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
CA-41,20.6,74,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
CA-42,15.9,74,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
CA-43,14,73,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
CA-44,15.4,57,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
CA-45,12.8,54,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
CA-46,17.1,56,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
CA-47,13.1,70,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
CA-48,11.4,47,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
CA-49,16.1,54,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
CA-50,12.9,65,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
CA-51,14.8,68,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
CA-52,14,61,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
CA-53,12.6,71,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
CO-01,14.9,69,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
CO-02,10.4,57,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
CO-03,21.3,53,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
CO-04,16,58,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
CO-05,18.2,67,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
CO-06,12,69,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
CO-07,15.2,59,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
CT-01,11.8,67,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
CT-02,11.2,50,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
CT-03,12.1,67,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
CT-04,12.8,53,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
CT-05,11.5,55,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
DC-01,11.1,64,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
DE-01,15.3,70,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
FL-01,19.2,66,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
FL-02,16,59,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
FL-03,16.9,67,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
FL-04,14.4,73,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
FL-05,17.6,65,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
FL-06,16.4,71,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
FL-07,13.7,72,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
FL-08,16.8,69,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
FL-09,18.3,81,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
FL-10,18,79,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
FL-11,16.8,53,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
FL-12,12.9,64,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
FL-13,14.6,74,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
FL-14,15.1,77,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
FL-15,16.9,78,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
FL-16,13.3,63,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
FL-17,16.8,62,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
FL-18,12,64,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
FL-19,14.1,61,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
FL-20,15.9,72,abortion_prohibition,Prohibit all abortions after 20 weeks,Abortion,7
