cd_clean,female,age_bin,educ_bin,race_bin,population
AL-01,0,65+,no_college,hispanic,904
AL-01,0,65+,no_college,other,1329
AL-01,0,65+,some_college,white,11437
AL-01,0,65+,some_college,black,4703
AL-01,0,65+,some_college,hispanic,615
AL-01,0,65+,some_college,other,903
AL-01,0,65+,college_plus,white,9894
AL-01,0,65+,college_plus,black,4068
AL-01,0,65+,college_plus,hispanic,532
AL-01,0,65+,college_plus,other,781
AL-01,1,18-29,no_college,white,15299
AL-01,1,18-29,no_college,black,6290
AL-01,1,18-29,no_college,hispanic,822
AL-01,1,18-29,no_college,other,1208
AL-01,1,18-29,some_college,white,10394
AL-01,1,18-29,some_college,black,4274
AL-01,1,18-29,some_college,hispanic,558
AL-01,1,18-29,some_college,other,821
AL-01,1,18-29,college_plus,white,8992
AL-01,1,18-29,college_plus,black,3697
AL-01,1,18-29,college_plus,hispanic,483
AL-01,1,18-29,college_plus,other,710
AL-01,1,30-44,no_college,white,19480
AL-01,1,30-44,no_college,black,8010
AL-01,1,30-44,no_college,hispanic,1047
AL-01,1,30-44,no_college,other,1538
AL-01,1,30-44,some_college,white,13235
AL-01,1,30-44,some_college,black,5442
AL-01,1,30-44,some_college,hispanic,711
AL-01,1,30-44,some_college,other,1045
AL-01,1,30-44,college_plus,white,11450
AL-01,1,30-44,college_plus,black,4708
AL-01,1,30-44,college_plus,hispanic,615
AL-01,1,30-44,college_plus,other,904
AL-01,1,45-64,no_college,white,27599
AL-01,1,45-64,no_college,black,11348
AL-01,1,45-64,no_college,hispanic,1483
AL-01,1,45-64,no_college,other,2179
AL-01,1,45-64,some_college,white,18751
AL-01,1,45-64,some_college,black,7710
AL-01,1,45-64,some_college,hispanic,1008
AL-01,1,45-64,some_college,other,1480
AL-01,1,45-64,college_plus,white,16222
AL-01,1,45-64,college_plus,black,6670
AL-01,1,45-64,college_plus,hispanic,872
AL-01,1,45-64,college_plus,other,1281
AL-01,1,65+,no_college,white,20992
AL-01,1,65+,no_college,black,8631
AL-01,1,65+,no_college,hispanic,1128
AL-01,1,65+,no_college,other,1657
AL-01,1,65+,some_college,white,14262
AL-01,1,65+,some_college,black,5864
AL-01,1,65+,some_college,hispanic,766
AL-01,1,65+,some_college,other,1126
AL-01,1,65+,college_plus,white,12338
AL-01,1,65+,college_plus,black,5073
AL-01,1,65+,college_plus,hispanic,663
AL-01,1,65+,college_plus,other,974
AL-02,0,18-29,no_college,white,14930
AL-02,0,18-29,no_college,black,7620
AL-02,0,18-29,no_college,hispanic,1010
AL-02,0,18-29,no_college,other,1248
AL-02,0,18-29,some_college,white,10334
AL-02,0,18-29,some_college,black,5275
AL-02,0,18-29,some_college,hispanic,699
AL-02,0,18-29,some_college,other,864
AL-02,0,18-29,college_plus,white,8460
AL-02,0,18-29,college_plus,black,4318
AL-02,0,18-29,college_plus,hispanic,572
AL-02,0,18-29,college_plus,other,707
AL-02,0,30-44,no_college,white,17572
AL-02,0,30-44,no_college,black,8969
AL-02,0,30-44,no_college,hispanic,1188
AL-02,0,30-44,no_college,other,1469
AL-02,0,30-44,some_college,white,12163
AL-02,0,30-44,some_college,black,6208
AL-02,0,30-44,some_college,hispanic,823
AL-02,0,30-44,some_college,other,1017
AL-02,0,30-44,college_plus,white,9957
AL-02,0,30-44,college_plus,black,5082
AL-02,0,30-44,college_plus,hispanic,673
AL-02,0,30-44,college_plus,other,832
AL-02,0,45-64,no_college,white,23240
AL-02,0,45-64,no_college,black,11862
AL-02,0,45-64,no_college,hispanic,1572
AL-02,0,45-64,no_college,other,1943
AL-02,0,45-64,some_college,white,16086
AL-02,0,45-64,some_college,black,8211
AL-02,0,45-64,some_college,hispanic,1088
AL-02,0,45-64,some_college,other,1345
AL-02,0,45-64,college_plus,white,13169
AL-02,0,45-64,college_plus,black,6722
AL-02,0,45-64,college_plus,hispanic,891
AL-02,0,45-64,college_plus,other,1101
AL-02,0,65+,no_college,white,14439
AL-02,0,65+,no_college,black,7370
AL-02,0,65+,no_college,hispanic,977
AL-02,0,65+,no_college,other,1207
AL-02,0,65+,some_college,white,9994
AL-02,0,65+,some_college,black,5101
AL-02,0,65+,some_college,hispanic,676
AL-02,0,65+,some_college,other,835
AL-02,0,65+,college_plus,white,8182
AL-02,0,65+,college_plus,black,4176
AL-02,0,65+,college_plus,hispanic,553
AL-02,0,65+,college_plus,other,684
AL-02,1,18-29,no_college,white,14880
AL-02,1,18-29,no_college,black,7595
AL-02,1,18-29,no_college,hispanic,1006
AL-02,1,18-29,no_college,other,1244
